1,1,1,32,3763.2676,1623560,1586576,1127927,458649,112125,45962,50303,85894,3060,28910,209381,63008,80714,0,390161,58409
1,1,1,34,1668.7991,3485989,2252277,1647471,604806,257485,56875,157289,163625,10536,65850,359444,142078,35837,0,356438,42014
1,1,1,34,4661.1541,3484359,4467629,3663643,803987,45413,0,133786,41955,1013,4252,2674850,216443,111501,38178,325709,70544
1,1,1,36,1358.3255,2938134,4132261,1337406,2794854,135717,28460,142829,372698,6779,53331,233083,68254,102929,0,171588,21737
1,1,1,41,116.1989,1638000,1744240,812260,931980,148950,4000,135000,15550,30970,33640,49600,102660,40900,0,205500,45490
1,1,1,41,362.1561,1785850,1430042,1064765,365276,140403,2324,0,392228,10372,5299,237079,53507,2500,0,167338,53715
1,1,1,44,1155.8873,1857761,1197812,1148272,49540,197450,9125,32798,47425,44,0,163679,76124,6900,0,552746,61980
1,1,1,44,304.0654,2782500,2637700,1337700,1300000,17400,126900,0,130000,0,0,126900,134000,2500,0,790000,10000
1,1,1,51,314.1604,550000,699960,699960,0,102980,271730,0,165140,7550,0,20000,19580,10580,0,20000,82400
1,1,1,52,6621.5813,3068033,3261309,1864582,1396728,107651,171009,73073,86329,3385,66109,236888,102439,149814,104612,656935,106339
1,1,1,55,1299.9975,2035771,1204833,468191,736642,30467,79780,9208,106421,7445,16604,53868,5660,9100,0,144138,5501
1,1,1,73,1857.4347,2338785,3001633,2553396,448238,135691,0,65680,64767,23024,197496,1600400,31246,131395,11861,245276,46560
1,1,1,82,1199.4074,673176,627170,475346,151824,82474,311,385,61132,26813,130051,23558,16945,81836,1349,38329,12163
1,1,2,25,1109.4898,2413268,1459315,1210123,249192,107292,119,96547,105184,13305,137929,191507,24850,53647,0,288940,190802
1,1,2,26,453.6106,1555880,2783084,2491874,291210,79278,0,561385,300584,4958,393458,317547,131001,220488,0,385326,97849
1,1,2,27,1452.1747,850789,743589,651450,92139,31165,342,57218,51660,8689,7112,103353,87994,30951,0,177480,95486
1,1,2,36,180.7117,1249791,872063,720144,151919,2951,0,94147,0,63743,0,0,0,368843,0,0,190461
1,1,2,39,571.6089,1041716,745410,693839,51571,102790,815,0,330025,3837,10032,45427,17494,46425,0,77473,59520
1,1,2,44,4002.7044,4686267,4692701,3702336,990365,366977,5666,164159,136295,45107,183664,205073,151592,99037,1417531,717365,209870
1,1,2,46,817.0448,1621846,1104267,932783,171484,111221,0,162380,249933,47695,2704,13708,47127,8620,0,128867,160529
1,1,2,49,1332.0937,2497505,1008846,718418,290428,179418,3420,70882,157420,9253,25829,30000,104534,12916,0,47473,77274
1,1,2,52,658.807,1385325,1635375,1149108,486268,91130,6179,49689,313825,10412,24378,172281,134216,34230,0,233572,79195
1,1,2,52,737.656,3075668,2427706,907847,1519859,141650,0,128363,21942,134722,9500,27104,42797,27752,0,239790,134227
1,1,2,57,164.4265,1612449,1001630,535288,466342,89550,0,0,66509,2751,0,13160,19878,10200,0,240501,92739
1,1,2,57,771.4853,1410950,3044092,2650405,393688,297704,10662,7881,25658,40295,47539,2093308,16423,20989,0,2952,86993
1,1,2,58,2727.4529,1668340,1361325,790617,570708,169642,336,59874,279490,31428,13747,78729,46277,11438,0,43684,55971
1,1,2,59,811.0237,1435163,1043309,880895,162414,59034,5802,38334,371761,32376,35910,173042,4760,79572,9576,40463,30264
1,1,2,60,3915.569,1930168,1017036,781357,235680,210100,37935,45038,128777,1036,34465,95402,44088,3613,0,119420,61484
1,1,2,60,895.576,579745,617175,501295,115880,150821,3846,20250,61460,40715,57583,39476,21620,30064,0,58243,17217
1,1,2,62,405.3282,2109735,1815765,1445303,370462,334411,0,19007,245623,41096,471309,111085,46489,37219,0,56151,82914
1,1,2,65,1659.4506,851445,947171,666410,280762,195691,0,30344,274832,18848,64984,17303,7929,28178,0,12507,15794
1,1,2,65,966.1467,948461,1401007,1300869,100138,113098,2384,156480,308771,26653,199810,99527,27733,18457,0,259445,88511
1,1,2,66,1349.6776,941071,629084,441737,187347,177011,962,20362,16218,7480,12652,61736,5025,33506,0,61699,45087
1,1,2,68,2079.9302,400995,541884,394235,147649,82397,0,46589,48965,17623,62567,41187,27527,7944,0,27504,31932
1,1,2,68,4104.2707,626989,1323101,1102882,220219,200050,1507,90798,441972,15297,209625,11827,4863,24343,0,54448,48152
1,1,2,73,6755.3641,490042,345972,336907,9065,146018,2918,2593,98146,6915,10383,21675,11615,2298,0,2800,31544
1,1,2,76,6696.2031,516605,544660,461166,83495,231478,181,14545,4014,18622,90791,8816,0,73348,0,5345,14025
1,1,2,78,3348.3056,942865,1085329,916334,168996,286852,3771,33419,266525,29335,81402,31782,44746,20391,0,78555,39556
1,1,2,79,662.6047,787175,340268,303217,37051,56657,1646,127,181067,2150,25901,14508,3995,7012,0,7577,2578
1,1,2,82,1290.5519,395149,238390,177386,61004,55065,0,0,68473,0,10917,14282,19444,0,0,5517,3688
1,2,1,26,961.7733,2913448,1791388,1377103,414285,166362,9847,231255,114669,31519,26851,233182,158291,64866,53096,242772,44392
1,2,1,28,4240.2023,4006582,2969897,2366729,603169,236865,48133,291815,492701,50067,32077,195815,195515,72967,0,568524,182250
1,2,1,31,1164.023,7585871,3719069,2537253,1181817,358816,980,368705,156655,41397,504800,295767,68093,2500,0,371937,367602
1,2,1,31,943.7719,5243789,2743446,2063252,680194,131426,6192,293483,246064,22352,116194,169631,182544,87742,0,479977,327646
1,2,1,32,268.0685,3095347,2241660,1762827,478833,341072,39040,267228,120164,57097,35747,205338,143652,154924,0,169578,228988
